,Journal,Article Title,Year,Affiliation,Country
7481,International journal of systematic and evolutionary microbiology,"Azospirillum zeae sp. nov., a diazotrophic bacterium isolated from rhizosphere soil of Zea mays.",2007,"School of Biological Sciences, Quaid-e-Azam Campus, University of the Punjab, Lahore 54590, Pakistan.",pakistan
7534,Mikrobiologiia,[The new eubacterium Roseomonas baikalica sp. nov. isolated from core samples collected by deep-hole drilling of the bottom of Lake Baĭkal].,2007,"Department of Plant Sciences, School of Life Sciences, University of Hyderabad, PO Central University, Hyderabad 500 046, India.",india
7632,International journal of systematic and evolutionary microbiology,"Microbacterium indicum sp. nov., isolated from a deep-sea sediment sample from the Chagos Trench, Indian Ocean.",2007,"Centre for Cellular and Molecular Biology, Uppal Road, Hyderabad 500 007, India. shivas@ccmb.res.in",india
7661,Mikrobiologiia,"[Salinicola socius gen. nov., sp. nov., a moderately halophilic bacterium from a naphthalene-utilizing microbial association].",2007,"Department of Molecular and Cell Biology, University of Cape Town, Rondebosch, Private Bag 1, Cape Town, 7701, South Africa.",south africa
7662,Systematic and applied microbiology,"Sphingobacterium canadense sp. nov., an isolate from corn roots.",2007,"School of Biological Sciences, University of the Punjab, Quaid-e-Azam Campus, Lahore 54590, Pakistan.",pakistan
7748,Extremophiles : life under extreme conditions,"Anoxybacillus rupiensis sp. Nov., a novel thermophilic bacterium isolated from Rupi basin (Bulgaria).",2007,"Institute of Microbiology, Bulgarian Academy of Science, Acad. G. Bonchev str. 26, 1113 Sofia, Bulgaria.",bulgaria
7797,Mikrobiologiia,"[The new bacteriochlorophyll a-containing bacterium Roseinatronobacter monicus sp. nov. from the hypersaline soda Mono Lake (California, United States)].",2007,"Research Service, VAMedical Center, West Los Angeles, CA 90073, USA. yulis1@yahoo.com",united states of america
7824,International journal of systematic and evolutionary microbiology,"Granulicoccus phenolivorans gen. nov., sp. nov., a Gram-positive, phenol-degrading coccus isolated from phenol-degrading aerobic granules.",2007,"Environmental Engineering Research Centre, School of Civil and Environmental Engineering, Nanyang Technological University, Singapore. cmaszenan@ntu.edu.sg",singapore
7936,Mikrobiologiia,[Classification of Methylomonas rubra sp. nov].,2006,"Institute of Molecular and Cellular Biosciences, The University of Tokyo, Yayoi 1-1-1, Bunkyo-ku, Tokyo 113-0032, Japan. kuramido@iam.u-tokyo.ac.jp",japan
7937,Mikrobiologiia,"[Geoalkalibacter ferrihydriticus gen. nov., sp. nov., the first alkaliphilic representative of the family Geobacteraceae, isolated from a soda lake].",2006,"Institute of Molecular and Cellular Biosciences, The University of Tokyo, Yayoi 1-1-1, Bunkyo-ku, Tokyo 113-0032, Japan. kuramido@iam.u-tokyo.ac.jp",japan
7964,International journal of systematic and evolutionary microbiology,"Exiguobacterium indicum sp. nov., a psychrophilic bacterium from the Hamta glacier of the Himalayan mountain ranges of India.",2006,"Centre for Cellular and Molecular Biology, Uppal Road, Hyderabad 500 007, India.",india
7970,Mikrobiologiia,"[Thiobacillus sajanensis sp. nov., a new obligately autotrophic sulfur-oxidizing bacterium isolated from Khoito-Gol hydrogen-sulfide springs, Buryatia].",2006,"Gifu University Graduate School of Medicine, Gifu, Japan. masaki@kaketsuken.or.jp",japan
8148,International journal of systematic and evolutionary microbiology,"Bacillus aerius sp. nov., Bacillus aerophilus sp. nov., Bacillus stratosphericus sp. nov. and Bacillus altitudinis sp. nov., isolated from cryogenic tubes used for collecting air samples from high altitudes.",2006,"Centre for Cellular and Molecular Biology, Uppal Road, Hyderabad 500 007, India. shivas@ccmb.res.in",india
8170,International journal of systematic and evolutionary microbiology,"Pedobacter sandarakinus sp. nov., isolated from soil.",2006,"Korea Research Institute of Bioscience and Biotechnology (KRIBB), Yusong, Taejon. jhyoon@kribb.re.kr",south korea
8173,International journal of systematic and evolutionary microbiology,"Polaribacter dokdonensis sp. nov., isolated from seawater.",2006,"Korea Research Institute of Bioscience and Biotechnology (KRIBB), Yusong, Taejon. jhyoon@kribb.re.kr",south korea
8247,International journal of systematic and evolutionary microbiology,"Clostridium schirmacherense sp. nov., an obligately anaerobic, proteolytic, psychrophilic bacterium isolated from lake sediment of Schirmacher Oasis, Antarctica.",2006,"Biotechnology Division, Defence Research and Development Establishment, Gwalior - 474002, India.",india
8313,International journal of systematic and evolutionary microbiology,"Marinomonas polaris sp. nov., a psychrohalotolerant strain isolated from coastal sea water off the subantarctic Kerguelen islands.",2006,"Centre for Cellular and Molecular Biology, Uppal Road, Hyderabad 500 007, India.",india
8365,Mikrobiologiia,"[Description of Desulfotomaculum nigrificans subsp. salinus as a new species, Desulfotomaculum salinum sp. nov].",2005,"Department of Microbiology, Bldg. 540, Institute of Biological Sciences, University of Aarhus, 8000 Aarhus, Denmark.",denmark
8366,Mikrobiologiia,"[Clostridium alkalicellum sp. nov., an obligately alkaliphilic cellulolytic bacterium from a soda lake in the Baikal region].",2005,"Department of Microbiology, Bldg. 540, Institute of Biological Sciences, University of Aarhus, 8000 Aarhus, Denmark.",denmark
8370,International journal of systematic and evolutionary microbiology,"Paenibacillus assamensis sp. nov., a novel bacterium isolated from a warm spring in Assam, India.",2005,"Microbial Type Culture Collection and Gene Bank, Sector 39A, Chandigarh 160 036, India.",india
8418,Mikrobiologiia,[Methylophaga murata sp. nov.: a haloalkaliphilic aerobic methylotroph from deteriorating marble].,2005,"Department of Soil Environmental Science, College of Agriculture and Natural Resources, National Chung Hsing University, Taichung, Taiwan.",taiwan
8436,International journal of systematic and evolutionary microbiology,"Dyadobacter hamtensis sp. nov., from Hamta glacier, located in the Himalayas, India.",2005,"Centre for Cellular and Molecular Biology, Uppal Road, Hyderabad 500 007, India.",india
8445,International journal of systematic and evolutionary microbiology,"Amycolatopsis plumensis sp. nov., a novel bioactive actinomycete isolated from a New-Caledonian brown hypermagnesian ultramafic soil.",2005,"Laboratoire de Biologie et Physiologie Végétales Appliquées, Université de la Nouvelle-Calédonie, BP4477 98847, Nouméa, New Caledonia.",new caledonia
8454,International journal of systematic and evolutionary microbiology,"Streptomyces bangladeshensis sp. nov., isolated from soil, which produces bis-(2-ethylhexyl)phthalate.",2005,"Department of Pharmacy, University of Rajshahi, Rajshahi 6205, Bangladesh.",india
8481,International journal of systematic and evolutionary microbiology,"Quadrisphaera granulorum gen. nov., sp. nov., a Gram-positive polyphosphate-accumulating coccus in tetrads or aggregates isolated from aerobic granules.",2005,"Environmental Engineering Research Centre, School of Civil and Environmental Engineering, Nanyang Technological University, Singapore 639798.",singapore
8535,International journal of systematic and evolutionary microbiology,"Marinobacter maritimus sp. nov., a psychrotolerant strain isolated from sea water off the subantarctic Kerguelen islands.",2005,"Centre for Cellular and Molecular Biology, Uppal Road, Hyderabad 500 007, India. shivas@ccmb.res.in",india
8573,International journal of systematic and evolutionary microbiology,"Sphingopyxis baekryungensis sp. nov., an orange-pigmented bacterium isolated from sea water of the Yellow Sea in Korea.",2005,"Laboratory of Microbial Function, Korea Research Institute of Bioscience and Biotechnology (KRIBB), Yusong, Taejon. jhyoon@kribb.re.kr",south korea
8579,International journal of systematic and evolutionary microbiology,"Erythrobacter luteolus sp. nov., isolated from a tidal flat of the Yellow Sea in Korea.",2005,"Korea Research Institute of Bioscience and Biotechnology (KRIBB), Yusong, Taejon. jhyoon@kribb.re.kr",south korea
8585,International journal of systematic and evolutionary microbiology,"Bacillus arsenicus sp. nov., an arsenic-resistant bacterium isolated from a siderite concretion in West Bengal, India.",2005,"Centre for Cellular and Molecular Biology, Hyderabad, India. shivas@ccmb.res.in",india
8590,International journal of systematic and evolutionary microbiology,"Pedobacter himalayensis sp. nov., from the Hamta glacier located in the Himalayan mountain ranges of India.",2005,"Centre for Cellular and Molecular Biology, Hyderabad, India. shivas@ccmb.res.in",india
8597,International journal of systematic and evolutionary microbiology,"Reclassification of [Cytophaga] marinoflava Reichenbach 1989 as Leeuwenhoekiella marinoflava gen. nov., comb. nov. and description of Leeuwenhoekiella aequorea sp. nov.",2005,"Pacific Institute of Bioorganic Chemistry of the Far-Eastern Branch of the Russian Academy of Sciences, Vladivostok. olganedashkovska@yahoo.com",russia
8598,International journal of systematic and evolutionary microbiology,"Pontibacillus marinus sp. nov., a moderately halophilic bacterium from a solar saltern, and emended description of the genus Pontibacillus.",2005,"Korea Research Institute of Bioscience and Biotechnology, Yusong, Daejeon.",south korea
8599,International journal of systematic and evolutionary microbiology,"Muricauda flavescens sp. nov. and Muricauda aquimarina sp. nov., isolated from a salt lake near Hwajinpo Beach of the East Sea in Korea, and emended description of the genus Muricauda.",2005,"Korea Research Institute of Bioscience and Biotechnology (KRIBB), Yusong, Taejon. jhyoon@kribb.re.kr",south korea
8646,International journal of systematic and evolutionary microbiology,"Psychrobacter vallis sp. nov. and Psychrobacter aquaticus sp. nov., from Antarctica.",2005,"Centre for Cellular and Molecular Biology, Uppal Road, Hyderabad 500 007, India. shivas@ccmb.res.in",india
8707,International journal of systematic and evolutionary microbiology,"Marinomonas ushuaiensis sp. nov., isolated from coastal sea water in Ushuaia, Argentina, sub-Antarctica.",2005,"Centre for Cellular and Molecular Biology, Uppal Road, Hyderabad 500 007, India.",india
8747,Systematic and applied microbiology,"Psychrobacter salsus sp. nov. and Psychrobacter adeliensis sp. nov. isolated from fast ice from Adelie Land, Antarctica.",2004,"Centre for Cellular and Molecular Biology, Uppal Road, Hyderabad, India. shivas@ccmb.res.in",india
8757,International journal of systematic and evolutionary microbiology,Arthrobacter gangotriensis sp. nov. and Arthrobacter kerguelensis sp. nov. from Antarctica.,2004,"Centre for Cellular and Molecular Biology, Uppal Road, Hyderabad - 500 007, India.",india
8799,International journal of systematic and evolutionary microbiology,"Streptomyces ferralitis sp. nov., a novel streptomycete isolated from a New-Caledonian ultramafic soil.",2004,"Laboratoire de Biologie et Physiologie Végetales Appliquées, Université de la Nouvelle-Calédonie, BP4477 98847 Nouméa, New Caledonia.",new caledonia
8891,Extremophiles : life under extreme conditions,"Thermoactive extracellular proteases of Geobacillus caldoproteolyticus, sp. nov., from sewage sludge.",2004,"Environmental Engineering Research Center, School of Civil and Environmental Engineering, Nanyang Technological University, 639798, Singapore.",singapore
8898,International journal of systematic and evolutionary microbiology,"Bacillus indicus sp. nov., an arsenic-resistant bacterium isolated from an aquifer in West Bengal, India.",2004,"Centre for Cellular and Molecular Biology, Uppal Road, Hyderabad-500 007, India.",india
8971,International journal of systematic and evolutionary microbiology,"Psychrophilic pseudomonads from Antarctica: Pseudomonas antarctica sp. nov., Pseudomonas meridiana sp. nov. and Pseudomonas proteolytica sp. nov.",2004,"Centre for Cellular and Molecular Biology, Uppal Road, Hyderabad - 500 007, India.",india
8998,International journal of systematic and evolutionary microbiology,"Nocardia neocaledoniensis sp. nov., a novel actinomycete isolated from a New-Caledonian brown hypermagnesian ultramafic soil.",2004,"Laboratoire de Biologie et Physiologie Végétales Appliquées, Université de la Nouvelle-Calédonie, BP 4477 98847, Nouméa, New Caledonia.",new caledonia
9013,International journal of systematic and evolutionary microbiology,"Deinococcus indicus sp. nov., an arsenic-resistant bacterium from an aquifer in West Bengal, India.",2004,"Centre for Cellular and Molecular Biology, Uppal Road, Hyderabad 500 007, India.",india
9077,Systematic and applied microbiology,Psychrophilic Planococcus maitriensis sp.nov. from Antarctica.,2003,"Centre for Cellular and Molecular Biology, Hyderabad, India.",india
9157,International journal of systematic and evolutionary microbiology,"Sporosarcina macmurdoensis sp. nov., from a cyanobacterial mat sample from a pond in the McMurdo Dry Valleys, Antarctica.",2003,"Centre for Cellular and Molecular Biology, Uppal Road, Hyderabad 500 007, India.",india
9172,International journal of systematic and evolutionary microbiology,"Bosea minatitlanensis sp. nov., a strictly aerobic bacterium isolated from an anaerobic digester.",2003,"Département de Biochimie-Microbiologie, Unité de Formation et de Recherches en Sciences de la Vie et de la Terre, Université de Ouagadougou, Burkina Faso. ouattabs@univ-ouaga.bf",burkina faso
9193,International journal of systematic and evolutionary microbiology,"Sterolibacterium denitrificans gen. nov., sp. nov., a novel cholesterol-oxidizing, denitrifying member of the beta-Proteobacteria.",2003,"Facultad de Química, Universidad de la República, C. C. 1157, Montevideo, Uruguay. starlera@fq.edu.uy",uruguay
9207,International journal of systematic and evolutionary microbiology,"Leifsonia rubra sp. nov. and Leifsonia aurea sp. nov., psychrophiles from a pond in Antarctica.",2003,"Centre for Cellular and Molecular Biology, Uppal Road, Hyderabad-500 007, India.",india
9282,International journal of systematic and evolutionary microbiology,"Sphingopyxis chilensis sp. nov., a chlorophenol-degrading bacterium that accumulates polyhydroxyalkanoate, and transfer of Sphingomonas alaskensis to Sphingopyxis alaskensis comb. nov.",2003,"Departamento de Microbiología, Facultad de Ciencias Biológicas, Universidad de Concepción, Casilla 160-C Concepción, Chile.",chile
9315,International journal of systematic and evolutionary microbiology,"Kocuria polaris sp. nov., an orange-pigmented psychrophilic bacterium isolated from an Antarctic cyanobacterial mat sample.",2003,"Centre for Cellular and Molecular Biology, Uppal Road, Hyderabad 500 007, India.",india
9343,Systematic and applied microbiology,Taxonomy of the glycerol fermenting clostridia and description of Clostridium diolis sp. nov.,2002,"German Research Center for Biotechnology-GBF, Braunschweig.",germany
9344,Extremophiles : life under extreme conditions,"Halomonas glaciei sp. nov. isolated from fast ice of Adelie Land, Antarctica.",2003,"Centre for Cellular and Molecular Biology, Uppal Road, Hyderabad-500 007, India.",india
9399,International journal of systematic and evolutionary microbiology,"Rheinheimera baltica gen. nov., sp. nov., a blue-coloured bacterium isolated from the central Baltic Sea.",2002,"GBF-German Centre for Biotechnology, Department of Environmental Microbiology, Braunschweig. inb@gbf.de",germany
9400,International journal of systematic and evolutionary microbiology,"Kineosphaera limosa gen. nov., sp. nov., a novel Gram-positive polyhydroxyalkanoate-accumulating coccus isolated from activated sludge.",2002,"Department of Civil Engineering, National University of Singapore, Singapore. cveliuwt@nus.edu.sg",singapore
9404,International journal of systematic and evolutionary microbiology,"Halomonas halocynthiae sp. nov., isolated from the marine ascidian Halocynthia aurantium.",2002,"Pacific Institute of Bioorganic Chemistry, Far-Eastern Branch, Russian Academy of Sciences, Vladivostok. erko@dsmz.de",russia
9405,International journal of systematic and evolutionary microbiology,"Pseudoalteromonas translucida sp. nov. and Pseudoalteromonas paragorgicola sp. nov., and emended description of the genus.",2002,"Pacific Institute of Bioorganic Chemistry of the Far-Eastern Branch of the Russian Academy of Sciences, Vladivostok. eivanova@swin.edu.au",russia
9437,Systematic and applied microbiology,"Ruminococcus luti sp. nov., isolated from a human faecal sample.",2002,"Department of Gastrointestinal Microbiology, German Institute of Human Nutrition, Bergholz-Rehbrücke.",germany
9450,International journal of systematic and evolutionary microbiology,"Psychrobacter submarinus sp. nov. and Psychrobacter marincola sp. nov., psychrophilic halophiles from marine environments.",2002,"Pacific Institute of Bioorganic Chemistry, Far-Eastern Branch, Russian Academy of Sciences, Vladivostok.",russia
9456,International journal of systematic and evolutionary microbiology,Taxonomic dissection of the Streptococcus bovis group by analysis of manganese-dependent superoxide dismutase gene (sodA) sequences: reclassification of 'Streptococcus infantarius subsp. coli' as Streptococcus lutetiensis sp. nov. and of Streptococcus bovis biotype 11.2 as Streptococcus pasteurianus sp. nov.,2002,cpoyart@pasteur.fr,france
9492,International journal of systematic and evolutionary microbiology,"Oleiphilaceae fam. nov., to include Oleiphilus messinensis gen. nov., sp. nov., a novel marine bacterium that obligately utilizes hydrocarbons.",2002,"Division of Microbiology, GBF-German Research Centre for Biotechnology, Braunschweig. pgo@gbf.de",germany
9506,International journal of systematic and evolutionary microbiology,"Mitsuokella jalaludinii sp. nov., from the rumens of cattle in Malaysia.",2002,"Institute of Bioscience, Universiti Putra Malaysia, Serdang, Selangor.",malaysia
9509,International journal of systematic and evolutionary microbiology,"Arthrobacter roseus sp. nov., a psychrophilic bacterium isolated from an antarctic cyanobacterial mat sample.",2002,"Centre for Cellular and Molecular Biology, Hyderabad, India.",india
9516,Applied microbiology and biotechnology,Bacillus naphthovorans sp. nov. from oil-contaminated tropical marine sediments and its role in naphthalene biodegradation.,2002,"Environmental Engineering Research Centre, Division of Environmental and Water Resources Engineering, School of Civil and Environmental Engineering, Nanyang Technological University, Singapore.",singapore
9528,International journal of systematic and evolutionary microbiology,"Stenotrophomonas acidaminiphila sp. nov., a strictly aerobic bacterium isolated from an upflow anaerobic sludge blanket (UASB) reactor.",2002,"Département de Biochimie-Microbiologie, Faculté des Sciences et Techniques, Université de Ouagadougou, Burkina Faso.",burkina faso
9529,International journal of systematic and evolutionary microbiology,"Saccharomonospora halophila sp. nov., a novel halophilic actinomycete isolated from marsh soil in Kuwait.",2002,"Kuwait University, Department of Biological Sciences, Safat.",kuwait
9531,International journal of systematic and evolutionary microbiology,"Nocardiopsis halotolerans sp. nov., isolated from salt marsh soil in Kuwait.",2002,"Dept of Biological Sciences, Kuwait University, Safat.",kuwait
9540,International journal of systematic and evolutionary microbiology,"Reclassification of Eubacterium formicigenerans Holdeman and Moore 1974 as Dorea formicigenerans gen. nov., comb. nov., and description of Dorea longicatena sp. nov., isolated from human faeces.",2002,"Department of Gastrointestinal Microbiology, German Institute of Human Nutrition, Bergholz-Rehbrucke.",germany
9541,International journal of systematic and evolutionary microbiology,"Paenibacillus chinjuensis sp. nov., a novel exopolysaccharide-producing bacterium.",2002,"Korea Research Institute of Bioscience and Biotechnology, Yusong, Taejon.",south korea
9555,International journal of systematic and evolutionary microbiology,"Pseudoalteromonas maricaloris sp. nov., isolated from an Australian sponge, and reclassification of [Pseudoalteromonas aurantia] NCIMB 2033 as Pseudoalteromonas flavipulchra sp. nov.",2002,"Pacific Institute of Bioorganic Chemistry of the Far-Eastern Branch of the Russian Academy of Sciences, Vladivostok. eivanova@groupwise.swin.edu.au",russia
9557,International journal of systematic and evolutionary microbiology,"Pseudoalteromonas ruthenica sp. nov., isolated from marine invertebrates.",2002,"Pacific Institute of Bioorganic Chemistry of the Far-Eastern Branch of the Russian Academy of Sciences, Vladivostok. eivanova@groupwise.swin.edu.au",russia
9558,International journal of systematic and evolutionary microbiology,"Pseudoalteromonas issachenkonii sp. nov., a bacterium that degrades the thallus of the brown alga Fucus evanescens.",2002,"Pacific Institute of Bioorganic Chemistry of the Far-Eastern Branch of the Russian Academy of Sciences, Vladivostok. eivanova@groupwise.swin.edu.au",russia
9566,International journal of systematic and evolutionary microbiology,"Anaerobaculum mobile sp. nov., a novel anaerobic, moderately thermophilic, peptide-fermenting bacterium that uses crotonate as an electron acceptor, and emended description of the genus Anaerobaculum.",2002,"Facultad de Química, Universidad de la República, Montevideo, Uruguay. jmenes@bilbo.edu.uy",uruguay
9569,International journal of systematic and evolutionary microbiology,"Halomonas alimentaria sp. nov., isolated from jeotgal, a traditional Korean fermented seafood.",2002,"Korea Research Institute of Bioscience and Biotechnology, Yusong, Taejon.",south korea
9584,International journal of systematic and evolutionary microbiology,"Jeotgalibacillus alimentarius gen. nov., sp. nov., a novel bacterium isolated from jeotgal with L-lysine in the cell wall, and reclassification of Bacillus marinus Rüger 1983 . as mMrinibacillus marinus gen nov., comb. nov.",2001,"Korea Research Institute of Bioscience and Biotechnology (KRIBB), Yusong, Taejon.",south korea
9635,Journal of clinical microbiology,Description of Mycobacterium heckeshornense sp. nov.,2001,"G.K.Skryabin Institute of Biochemistry and Physiology of Microorganisms RAS, Pushchino, Moscow, Russia.",russia
9641,International journal of systematic and evolutionary microbiology,"Planomicrobium koreense gen. nov., sp. nov., a bacterium isolated from the Korean traditional fermented seafood jeotgal, and transfer of Planococcus okeanokoites (Nakagawa et al. 1996) and Planococcus mcmeekinii (Junge et al. 1998) to the genus Planomicrobium.",2001,"Korea Research Institute of Bioscience and Biotechnology, Yusong, Taejon.",south korea
9644,International journal of systematic and evolutionary microbiology,"Sphingomonas aquatilis sp. nov., Sphingomonas koreensis sp. nov., and Sphingomonas taejonensis sp. nov., yellow-pigmented bacteria isolated from natural mineral water.",2001,"Korea Research Institute of Bioscience and Biotechnology, Yusong, Taejon.",south korea
9651,International journal of systematic and evolutionary microbiology,"Hydrogenobacter subterraneus sp. nov., an extremely thermophilic, heterotrophic bacterium unable to grow on hydrogen gas, from deep subsurface geothermal water.",2001,"Subground Animalcules Retrieval (SUGAR) Project, Frontier Research for Deep-sea Environments, Japan Marine Science and Technology Center, Yokosuka. kent@jamstec.go.jp",japan
9660,International journal of systematic and evolutionary microbiology,"Novel nitrogen-fixing acetic acid bacteria, Gluconacetobacter johannae sp. nov. and Gluconacetobacter azotocaptans sp. nov., associated with coffee plants.",2001,"Centro de Investigación sobre Fijación de Nitrógeno, Universidad Nacional Autónoma de México, Cuernavaca, Mor..",mexico
9674,International journal of systematic and evolutionary microbiology,"Comamonas nitrativorans sp. nov., a novel denitrifier isolated from a denitrifying reactor treating landfill leachate.",2001,"Departamento de Microbiología, Facultad de Química, Universidad de la República, Montevideo, Uruguay. cetchebe@bilbo.edu.uy",uruguay
9686,International journal of systematic and evolutionary microbiology,"Halomonas marisflavae sp. nov., a halophilic bacterium isolated from the Yellow Sea in Korea.",2001,"Korea Research Institute of Bioscience and Biotechnology (KRIBB), Yusong, Taejon.",south korea
9691,International journal of systematic and evolutionary microbiology,"Bacillus jeotgali sp. nov., isolated from jeotgal, Korean traditional fermented seafood.",2001,"Korea Research Institute of Biosciences and Biotechnology (KRIBB), Yusong, Taejon.",south korea
9692,International journal of systematic and evolutionary microbiology,"Sporosarcina aquimarina sp. nov., a bacterium isolated from seawater in Korea, and transfer of Bacillus globisporus (Larkin and Stokes 1967), Bacillus psychrophilus (Nakamura 1984) and Bacillus pasteurii (Chester 1898) to the genus Sporosarcina as Sporosarcina globispora comb. nov., Sporosarcina psychrophila comb. nov. and Sporosarcina pasteurii comb. nov., and emended description of th.",2001,"Korea Research Institute of Bioscience and Biotechnology (KRIBB), Yusong, Taejon.",south korea
9696,International journal of systematic and evolutionary microbiology,Shewanella japonica sp. nov.,2001,"Pacific Institute of Bioorganic Chemistry of the Far-Eastern Branch, Russian Academy of Sciences, Vladivostoku. eivanova@groupwise.swin.edu.au",russia
9717,International journal of systematic and evolutionary microbiology,"Actinopolymorpha singaporensis gen. nov., sp. nov., a novel actinomycete from the tropical rainforest of Singapore.",2001,"Microbial Collection and Screening Laboratory, Institute of Molecular and Cell Biology, Singapore.",singapore
9753,Journal of clinical microbiology,"Nocardia africana sp. nov., a new pathogen isolated from patients with pulmonary infections.",2001,"Department of Preventive Medicine and Public Health, Faculty of Veterinary Science, University of Khartoum, Khartoum North, Sudan.",sudan
